ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-01-02 18:00:00,3,11697,83,33,36.54,270.00,"[(B6, 10721, 270.00),(AA, 14100, 217.00),(B6, 12953, 179.00),(NK, 11066, 151.00),(NK, 11433, 126.00),(UA, 11618, 124.00),(NK, 12953, 117.00),(NK, 14122, 115.00),(NK, 14492, 106.00),(NK, 13342, 100.00),(NK, 13204, 92.00),(UA, 14771, 91.00),(NK, 11042, 86.00),(NK, 15304, 83.00),(B6, 14524, 65.00),(DL, 12953, 56.00),(DL, 10397, 56.00),(DL, 10397, 50.00),(B6, 12197, 48.00),(B6, 11618, 46.00)]"
2025-01-02 18:00:00,4,12892,151,28,27.42,1065.00,"[(OO, 10372, 1065.00),(OO, 14679, 729.00),(OO, 14679, 608.00),(NK, 11298, 253.00),(OO, 14771, 231.00),(WN, 14683, 162.00),(OO, 10713, 126.00),(DL, 15304, 121.00),(WN, 14893, 114.00),(OO, 14262, 91.00),(UA, 11618, 78.00),(DL, 11193, 69.00),(NK, 12889, 66.00),(UA, 14771, 65.00),(DL, 10721, 52.00),(UA, 11292, 48.00),(UA, 12264, 47.00),(DL, 13204, 42.00),(HA, 12173, 41.00),(DL, 11292, 39.00)]"
2025-01-02 18:00:00,5,11292,232,26,11.11,171.00,"[(OO, 11109, 171.00),(WN, 12892, 140.00),(WN, 13796, 127.00),(UA, 10721, 108.00),(OO, 14869, 98.00),(WN, 14100, 96.00),(UA, 13198, 93.00),(UA, 13930, 83.00),(UA, 12441, 83.00),(UA, 12892, 78.00),(AA, 11057, 71.00),(WN, 10693, 68.00),(WN, 14893, 65.00),(F9, 14771, 62.00),(OO, 13127, 61.00),(OO, 11109, 59.00),(OO, 12280, 56.00),(WN, 13342, 50.00),(WN, 10693, 45.00),(UA, 11298, 44.00)]"
2025-01-02 18:00:00,6,11057,206,24,8.93,286.00,"[(NK, 12953, 286.00),(AA, 10994, 128.00),(AA, 10693, 126.00),(AA, 10994, 106.00),(AA, 13342, 86.00),(OH, 14730, 84.00),(AA, 15370, 80.00),(MQ, 14783, 80.00),(AA, 12266, 76.00),(AA, 14730, 76.00),(F9, 12953, 64.00),(DL, 14869, 57.00),(OH, 11995, 54.00),(OH, 12945, 49.00),(AA, 10257, 48.00),(NK, 11298, 43.00),(AA, 11066, 42.00),(AA, 11697, 40.00),(AA, 10693, 37.00),(OH, 10980, 36.00)]"
2025-01-02 18:00:00,7,14107,164,21,20.91,717.00,"[(OO, 12280, 717.00),(AA, 14908, 658.00),(AA, 14679, 578.00),(AA, 11540, 467.00),(WN, 13891, 102.00),(WN, 11066, 98.00),(MQ, 13244, 97.00),(AA, 14679, 87.00),(WN, 13891, 71.00),(WN, 14831, 67.00),(UA, 12264, 66.00),(WN, 14057, 49.00),(WN, 14683, 48.00),(WN, 11259, 44.00),(WN, 12889, 42.00),(WN, 14869, 42.00),(OO, 11638, 40.00),(WN, 10423, 36.00),(WN, 10140, 36.00),(AA, 13204, 34.00)]"
2025-01-02 18:00:00,8,10397,251,21,6.63,156.00,"[(NK, 11697, 156.00),(NK, 11298, 117.00),(WN, 11259, 116.00),(DL, 13303, 97.00),(NK, 12266, 81.00),(NK, 11697, 78.00),(DL, 10721, 78.00),(DL, 13204, 74.00),(NK, 14843, 62.00),(DL, 14771, 59.00),(AS, 14057, 57.00),(NK, 12889, 57.00),(DL, 11193, 48.00),(AS, 14747, 47.00),(DL, 13303, 41.00),(WN, 12953, 41.00),(F9, 10792, 40.00),(WN, 10821, 39.00),(DL, 11697, 37.00),(NK, 11433, 36.00)]"
2025-01-02 18:00:00,9,13303,124,20,13.40,195.00,"[(B6, 10721, 195.00),(AA, 13204, 175.00),(AA, 10821, 132.00),(UA, 11618, 116.00),(UA, 11292, 97.00),(AA, 13871, 74.00),(NK, 11433, 71.00),(AA, 13495, 55.00),(AA, 13931, 51.00),(AA, 14492, 44.00),(AA, 13495, 43.00),(AA, 14683, 43.00),(B6, 12478, 43.00),(NK, 14100, 37.00),(DL, 12953, 37.00),(AA, 14100, 35.00),(AA, 14843, 34.00),(AA, 11986, 34.00),(NK, 12889, 33.00),(AA, 14107, 32.00)]"
2025-01-02 18:00:00,10,12889,129,19,10.32,119.00,"[(G4, 11638, 119.00),(B6, 10721, 102.00),(WN, 15016, 85.00),(NK, 13204, 66.00),(NK, 12892, 60.00),(NK, 13796, 52.00),(WN, 12892, 52.00),(DL, 12892, 51.00),(NK, 14570, 50.00),(NK, 12266, 49.00),(WN, 12191, 45.00),(G4, 14314, 43.00),(NK, 11298, 37.00),(UA, 12892, 37.00),(AA, 11298, 34.00),(WN, 11259, 32.00),(NK, 14057, 32.00),(WN, 11638, 31.00),(UA, 11292, 31.00)]"
2025-01-04 00:00:00,1,11292,39,2,2.21,69.00,"[(DL, 10397, 69.00),(AS, 14747, 36.00)]"
2025-01-04 00:00:00,2,14107,33,1,-1.36,31.00,"[(UA, 11618, 31.00)]"
2025-01-04 00:00:00,3,12889,43,1,-0.05,36.00,"[(NK, 12339, 36.00)]"
2025-01-04 00:00:00,4,10721,31,1,-2.29,46.00,"[(AA, 11298, 46.00)]"
2025-01-04 00:00:00,5,13204,30,0,-3.50,10.00,"[]"
2025-01-04 00:00:00,6,12892,39,0,-2.03,18.00,"[]"
2025-01-05 00:00:00,1,11292,33,6,30.88,399.00,"[(DL, 14747, 399.00),(F9, 14107, 362.00),(B6, 12478, 48.00),(WN, 12191, 33.00),(WN, 10693, 32.00),(WN, 10821, 31.00)]"
2025-01-05 00:00:00,2,12892,38,5,17.42,318.00,"[(AA, 11298, 318.00),(AA, 14107, 183.00),(DL, 13487, 142.00),(B6, 12478, 70.00),(WN, 15016, 39.00)]"
2025-01-05 00:00:00,3,14107,34,4,23.91,520.00,"[(NK, 11298, 520.00),(WN, 15016, 159.00),(F9, 13232, 49.00),(UA, 13930, 40.00)]"
2025-01-05 00:00:00,4,12889,38,2,1.05,94.00,"[(WN, 10397, 94.00),(NK, 12339, 44.00)]"
